HotelCode|RoomAmenities
135819|HAC47,ELEV,EXCKIN,DESK24,AIRCON,SPRINK,PRKBUS,WAKEUP,POOLOT,NWSPPR,BIDET,GOLF,PRKNG,PRKIND,BABY,BEAUTY,SAUNA,SPA,BATH,INTHS,CONDSK,EXCKOT,ROOM,PRKVAL,HAIR,CMPRTL,BUSCTR,FAX,GIFT,CURREX,CRIB,BAR,REST,BELL,PRKOUT,MTGFAC,CAR,SAFDEP,HORSE,IRON,SOLARM,DISCO,POOLHT,NTECLB,NSMK,CONLEV,SECURE
135820|The hotel bedrooms are tastefully appointed and are very different in design compared to the modern exterior.  Every room has an Arabian feel to it, with wooden panelling above the bed and wooden furniture.  However the large windows ensure a light and welcoming atmosphere.  The rooms are very comfortable and have all modern amenities.  The bathrooms, although slightly small, are perfectly functional.
136034|CELTEL,CNTBRK,TV,TEL,DESK24,WHTBRD,AIRCON,ADPTRS,SPRINK,WAKEUP,POOLOT,TVRMOT,BIDET,PRKIND,AVEQUP,ALRMCK,MINBAR,BEAUTY,BATH,BARBER,ROOM,BUSCTR,SMKDET,ELECDR,MADSVC,GIFT,CURREX,LOUNGE,DSKLMP,LANDRY,REST,BELL,GYM,MTGFAC,DOCTOR,KIDACT,VALET,CONLEV,SECURE,AIRLIN,TMPCTL,WETBAR,DVD,FAMILY,TOUR,HAC47,MOVIES,EXCKIN,TVCAB,CPSVC,NWSSTD,NWSPPR,PRKNG,SECU24,BABY,SAUNA,COFFEE,INTHS,HEAT,CONDSK,FEMEX,HAIR,EXLEVL,CMPRTL,SAFE,COFMKR,POOL,IRONBD,BAR,ROOM24,TRNDWN,VIDCKO,IRON,NTECLB,NSMK,BB,BTHTEL,NRSERY
136038|Air conditioning,In-room safe
136043|CONLEV
136044|BUSCTR,CURREX,ORBWLS,POOL,ORBSHT,ELEV,CNFFAC,LANDRY,REST,FPRKNG,BAR,ROOM24,POOLOT,MTGFAC,POOLIN,SAFDEP,DISABL,BEAUTY,SPA,INTHS,NSMK,CONLEV,HEALTH
136050|BUSCTR,CURREX,TEL,SAFE,COFMKR,POOL,SHOP,ELEV,LDRYMT,EXCKIN,AIRCON,TVSAT,BAR,REST,GYM,CAR,SAFDEP,PRKNG,AVEQUP,BEAUTY,NSMK,CONDSK,MULTI,HAIR
136051|TEL,POOLOT,SHOWER,ALRMCK,BEAUTY,DISABL,SPA,BARBER,EXCKOT,PRKVAL,HEALTH,BUSCTR,SMKDET,MADSVC,GIFT,HAC116,LOUNGE,CRIB,JACUZ,LANDRY,PRKRV,BELL,CAR,KIDACT,DISCO,BRALEL,SECURE,DVD,FAMILY,KITFUL,MOVIES,ELEV,CNFSTE,TVCAB,NWSPPR,CPSVC,TENNIS,BABY,COFFEE,HEAT,EASEL,FISH,CMPRTL,SAFE,COFMKR,RMA161,IRONBD,RMPACC,BAR,SCUBA,ROOM24,TRNDWN,PRKOUT,BOATNG,IRON,ENTMNT,NRSERY,CELTEL,FLORST,CNTBRK,TV,PHSPKR,DESK24,ADPTRS,AIRCON,SPRINK,WAKEUP,STMBTH,TVRMOT,BIDET,MINBAR,AVEQUP,PRKIND,BATH,ROOM,ELECDR,CTSCAR,PRJECT,CURREX,SHPMAL,DSKLMP,GAME,GYM,MTGFAC,CRDTEL,DOCTOR,VALET,SAFDEP,WCHR,PHNSRV,AIRLIN,TMPCTL,MAP,FIRELT,TOUR,HAC47,SHOP,HAC156,EXCKIN,PRKBUS,NWSSTD,PRKTRK,MICRWV,GOLF,PRKNG,POOLSB,SECU24,SAUNA,DOORMN,INTHS,CONDSK,BLKBRD,HAIR,EXLEVL,FAX,TPRESS,POOL,LDRYMT,SOLARM,POOLHT,NTECLB,NSMK,AP,BTHTEL,MULTI
136055|WiFi (surcharge),LCD TV
138783|The medium-sized rooms are designed in an Eastern style and some overlook the traditional market souks, whilst others overlook the creek. All with modern amenities including high speed internet access and Wi Fi to ensure guests enjoy 24 hour communication connectivity and ultimate comfort. Complimentary tea/coffee making facilities are standard, all rooms have multilingual TV Channels. Mini - fridge is available in all rooms, charges apply.
