HotelCode|PropertyAmenities
160950|ATM/banking,Airport transportation (surcharge),Fireplace in lobby,Barbecue grill(s),Coffee/tea in common areas,Sauna,Conference center,Free self parking
161703|Laundry facilities,Poolside bar,Multilingual staff
161704|Elevator/lift,Conference center
161885|24-hour reception, Babysitting service (upon request), Business Center services, coffee lounge, cafe, courier services, daily continental breakfast, Daily maid service,  Doctor on call,  limousine services, Laundry &amp; dry cleaning services and Scheduled shuttle bus service, room service.
162216|Concierge services,Conference space,Breakfast available (surcharge),Free newspapers in lobby,On private beach,Beach towels
162481|Number of buildings/towers - ,Laundry facilities,Children's pool,Designated smoking areas,Tours/ticket assistance
164842|Baby sitting,Car parking (Payable to hotel, if applicable),Disabled facilities,Early check-in,Gymnasium,Coach parking,Indoor pool,Lifts,Lobby,Outdoor pool,Porterage,Room Service,Sauna,Air conditioning,Hairdryer,Connection for laptop,Mini bar,Satellite television,Television,Voltage
166709|Number of buildings/towers - ,Babysitting or childcare (surcharge)
167657|Conference space,Spa tub,Free newspapers in lobby,Sauna,Free self parking,Airport transportation - pickup (surcharge)
168011|Grocery/convenience store,Wired (high-speed) Internet access - surcharge,24-hour business center,Computer station,Train station pickup (surcharge)
168012|Parking lot,Laundry room,Indoor Swiming Pool,Elevators,Room Service,Shopping Center,Late check-out,Living Room,Car rental facilities,Porterage,Travel agency facilities,Minibar,Air-Conditioning,Phone,Hair dryer,TV,Radio,Trouser press
168013|Conference space,Library,Free newspapers in lobby,Porter/bellhop
168014|Early check-in,Lifts,Lobby,Laundry facilities,Outdoor pool,Porterage,Room Service,Travel agency facilities,Air conditioning,Mini bar,Satellite television,Television,Voltage
168368|Bar/lounge,ATM/banking,Number of floors - ,Barbecue grill(s),Children's pool,Free self parking
168420|Safe-deposit box at front desk,Snack bar/deli
168683|Elevator/lift,Number of floors - ,Airport transportation (surcharge),Laundry facilities,Poolside bar,Safe-deposit box at front desk,Meeting rooms,Pool sun loungers
168749|Shopping on site,Safe-deposit box at front desk
169347|Number of floors - ,Laundry facilities,Express check-out
169581|Safe-deposit box at front desk,Free self parking
169582|Number of buildings/towers -
169672|Restaurant,Wi-Fi access,Television,CafÃ©,Elevator,Air Condition,Safety Box,Concierge,Bathtub,Satellite T.v,Bar,Private Garage,Doctor On Call,Business Center,Babysitter,24 Hours Security,Car Rental Service,Wi-Fi In Public Area,Shower,Mini Fridge,Iron & Ironing Board,24 hr Room Service,Working desk,Telephone,Bathroom
169704|Business center
169769|Designated smoking areas
170043|Be sure to enjoy recreational amenities, including a nightclub, an outdoor pool, and a sauna. Additional features include complimentary wireless Internet access and concierge services. The complimentary beach shuttle makes getting to the surf and sand a breeze.
170117|Take advantage of recreational opportunities offered, including a health club, an outdoor pool, and a sauna. Additional features include complimentary wireless Internet access, a television in the lobby, and tour/ticket assistance. Guests can catch a ride to nearby destinations on the area shuttle (surcharge).
170136|Take advantage of recreational opportunities offered, including a sauna, a fitness center, and a seasonal outdoor pool. This aparthotel also features complimentary wireless Internet access, babysitting/childcare (surcharge), and a television in the lobby.
170271|Health club
170281|Take advantage of recreational opportunities offered, including a health club, an outdoor pool, and a sauna. This apartment also features complimentary wireless Internet access, concierge services, and babysitting/childcare.
170370|Outdoor pool,Concierge services,Breakfast available (surcharge),24-hour business center,Luggage storage
170401|Breakfast available (surcharge),Coffee shop or café,Safe-deposit box at front desk,Express check-in
170414|Don’t miss out on the many recreational opportunities, including a nightclub, a health club, and an outdoor pool. Additional amenities include wireless Internet access (surcharge), concierge services, and babysitting/childcare. Guests can catch a ride to nearby destinations on the area shuttle (surcharge).
170416|Restaurant,Hairdryer,CafÃ©,Elevator,Air Condition,Minibar,Safety Box,Concierge,Bathtub,Satellite T.v,Coffee Station,Business Center
170424|Nightclub,Express check-out,Free WiFi
170655|Shopping on site,Total number of rooms - ,Breakfast available (surcharge),24-hour front desk,Dry cleaning/laundry service,Year Built
170656|Dry cleaning/laundry service,Year Built
170657|Hair salon,Total number of rooms - ,Breakfast available (surcharge),Dry cleaning/laundry service,Number of restaurants -
170658|Total number of rooms - ,Number of buildings/towers - ,Breakfast available (surcharge),Coffee shop or café,Babysitting or childcare (surcharge)
171229|Hair salon,Breakfast available (surcharge),24-hour front desk,Steam room,Designated smoking areas (fines apply),Free valet parking
171565|Business center
171981|One meeting room,Free self parking,Luggage storage
